bike_id,brand,age_months,km_driven,owner_count,condition,mileage_kmpl,service_count,insurance,price_thousand,sold_in_week
B4543,TVS,25,14455.0,3,Excellent,40.6,,Yes,41.6,No
B4392,TVS,43,26304.0,2,Good,51.2,1.0,Yes,24.1,No
B4235,Honda,38,6421.0,1,Good,65.0,,No,48.2,No
B4319,Hero,14,6531.0,1,Good,,,Yes,58.7,No
B4284,TVS,115,80000.0,1,Good,61.8,0.0,No,12.0,Yes
B4533,Royal Enfield,5,5524.0,1,Good,46.9,2.0,No,153.7,No
B4412,Hero,44,22686.0,1,Fair,,1.0,No,26.4,No
B4357,Yamaha,79,52795.0,3,Excellent,45.0,,Yes,12.0,Yes
B4376,Hero,89,78402.0,1,Excellent,35.8,0.0,Yes,12.0,No
B4429,TVS,24,19605.0,1,Good,72.0,4.0,Yes,54.8,No
B4394,Royal Enfield,66,49224.0,1,Good,50.9,3.0,No,38.3,Yes
B4307,Honda,116,77996.0,1,Excellent,62.2,3.0,Yes,12.0,Yes
B4310,Honda,109,80000.0,1,Good,46.6,,No,12.0,Yes
B4431,Honda,95,59381.0,3,Fair,42.3,5.0,Yes,12.0,No
B4289,Honda,40,13414.0,1,Good,47.8,1.0,Yes,48.4,No
B4534,Honda,107,44412.0,1,Good,52.9,3.0,No,12.0,Yes
B4356,Honda,70,55706.0,3,Good,39.1,1.0,No,12.0,Yes
B4139,Honda,49,31115.0,1,Good,59.1,1.0,Yes,44.2,No
B4262,Yamaha,65,31328.0,1,Good,34.5,3.0,No,20.2,No
B4538,Hero,7,4088.0,3,Fair,56.4,3.0,Yes,34.1,No
B4297,Yamaha,33,14348.0,1,Excellent,52.9,1.0,No,67.0,No
B4537,Hero,44,29517.0,2,Excellent,45.3,3.0,Yes,39.1,No
B4489,TVS,62,27219.0,2,Fair,56.3,5.0,No,12.0,No
B4409,Bajaj,98,60393.0,2,Good,59.6,2.0,Yes,12.0,No
B4362,Yamaha,106,80000.0,1,Good,60.1,3.0,No,12.0,Yes
B4494,Honda,11,5908.0,1,Fair,55.4,0.0,Yes,67.9,No
B4104,Hero,97,53706.0,2,Excellent,49.4,,Yes,12.0,Yes
B4456,TVS,34,25302.0,1,Fair,60.9,,Yes,21.7,No
B4317,TVS,89,62179.0,1,Fair,54.4,3.0,No,12.0,No
B4386,Honda,92,51743.0,1,Good,47.3,1.0,Yes,12.0,Yes
B4504,Yamaha,77,56844.0,1,Good,41.4,4.0,Yes,15.3,No
B4424,Yamaha,44,21474.0,3,Excellent,48.9,0.0,Yes,33.7,Yes
B4396,TVS,78,51912.0,1,Good,47.4,3.0,No,12.0,Yes
B4358,Bajaj,89,30116.0,1,Excellent,62.5,3.0,No,17.4,Yes
B4469,Bajaj,5,4504.0,1,Fair,46.3,3.0,No,62.8,No
B4311,Hero,72,54943.0,2,Good,43.1,1.0,No,12.0,Yes
B4536,Honda,66,45267.0,2,Fair,52.3,1.0,No,12.0,No
B4157,TVS,107,70084.0,2,Good,46.7,4.0,Yes,12.0,Yes
B4237,Honda,102,80000.0,2,Fair,52.8,3.0,Yes,12.0,No
B4120,Hero,88,75217.0,2,Excellent,58.5,1.0,Yes,12.0,Yes
B4328,Royal Enfield,16,11870.0,1,Fair,62.6,,Yes,130.0,No
B4475,Honda,114,68384.0,1,Fair,45.1,,No,12.0,No
B4160,TVS,36,16088.0,1,Good,55.1,3.0,Yes,37.7,No
B4280,Honda,29,20600.0,2,Good,37.7,4.0,No,34.1,No
B4385,TVS,80,46722.0,1,Fair,51.3,3.0,No,12.0,No
B4170,Bajaj,6,4773.0,1,Excellent,60.7,2.0,Yes,79.2,No
B4298,Hero,22,11985.0,1,Good,46.9,3.0,Yes,47.1,No
B4236,Honda,8,4088.0,1,Fair,51.8,2.0,No,73.4,No
B4301,Honda,63,22382.0,1,Excellent,35.9,5.0,Yes,32.6,Yes
B4314,Yamaha,98,80000.0,1,Good,46.4,1.0,Yes,12.0,Yes
B4425,Yamaha,3,2388.0,2,Good,37.9,3.0,Yes,85.8,No
B4243,TVS,67,47463.0,1,Good,34.6,3.0,Yes,26.7,No
B4515,Yamaha,74,38264.0,1,Good,,2.0,Yes,28.7,No
B4510,Honda,91,56191.0,1,Good,42.8,5.0,No,12.0,Yes
B4503,Bajaj,65,50850.0,1,Excellent,41.9,3.0,Yes,22.6,Yes
B4201,TVS,70,41944.0,3,Excellent,37.6,5.0,Yes,12.0,Yes
B4417,Bajaj,70,32904.0,1,Fair,,,No,12.0,Yes
B4274,Hero,110,64601.0,1,Excellent,59.1,1.0,Yes,12.0,Yes
B4501,Bajaj,55,8304.0,3,Good,43.3,2.0,Yes,18.7,Yes
B4296,Hero,45,26225.0,2,Good,31.1,4.0,No,12.0,No
B4258,Yamaha,77,15961.0,1,Good,37.6,5.0,No,23.0,Yes
B4304,Honda,98,56562.0,2,Excellent,43.5,,Yes,12.0,Yes
B4351,Hero,73,44638.0,3,Fair,43.7,0.0,Yes,12.0,No
B4153,TVS,53,38624.0,1,Fair,37.3,1.0,No,12.0,Yes
B4107,Honda,11,9685.0,1,Good,47.8,,Yes,72.9,No
B4290,Hero,74,67706.0,2,Excellent,60.6,2.0,Yes,12.0,Yes
B4397,Bajaj,40,22109.0,1,Good,37.5,4.0,No,42.4,No
B4487,Bajaj,42,23704.0,1,Good,57.5,1.0,No,32.4,No
B4447,Hero,59,39347.0,1,Fair,51.9,4.0,No,12.0,No
B4121,Hero,75,45917.0,1,Fair,45.0,2.0,Yes,12.0,No
B4114,Honda,30,16542.0,3,Fair,39.5,3.0,Yes,23.1,No
B4377,Bajaj,99,75449.0,2,Fair,55.8,0.0,No,12.0,No
B4156,Hero,12,7480.0,1,Fair,50.5,3.0,No,50.8,No
B4506,Honda,45,17899.0,1,Excellent,45.5,3.0,Yes,46.6,Yes
B4465,Hero,96,49240.0,3,Excellent,59.1,1.0,Yes,12.0,Yes
B4499,Royal Enfield,25,5779.0,1,Good,44.1,3.0,Yes,111.0,No
B4495,Royal Enfield,62,38138.0,1,Excellent,24.1,3.0,Yes,68.2,Yes
B4174,Yamaha,18,8587.0,2,Fair,31.6,,Yes,59.7,No
B4131,Yamaha,57,33120.0,2,Good,53.2,0.0,No,12.0,Yes
B4379,Honda,87,51198.0,2,Excellent,33.0,,Yes,12.0,Yes
B4371,Hero,29,9467.0,2,Excellent,44.7,3.0,Yes,55.0,No
B4204,Bajaj,108,80000.0,1,Excellent,47.4,3.0,Yes,12.0,Yes
B4299,Hero,40,21740.0,1,Excellent,38.7,0.0,Yes,29.4,Yes
B4493,Royal Enfield,5,4125.0,1,Excellent,39.8,1.0,Yes,172.3,No
B4402,TVS,89,75908.0,3,Good,29.9,4.0,Yes,12.0,Yes
B4187,TVS,43,20782.0,1,Fair,41.8,2.0,No,23.8,No
B4420,TVS,72,32742.0,1,Excellent,33.2,,Yes,31.3,Yes
B4253,Royal Enfield,44,25018.0,2,Good,,,Yes,75.5,Yes
B4302,Hero,29,26755.0,1,Good,43.8,2.0,Yes,37.4,No
B4300,Bajaj,91,46270.0,3,Good,50.4,,Yes,12.0,Yes
B4436,TVS,119,56825.0,1,Fair,44.7,,Yes,12.0,Yes
B4540,Honda,113,65016.0,1,Good,36.1,1.0,Yes,12.0,Yes
B4250,Bajaj,53,14252.0,1,Good,49.8,2.0,No,32.0,No
