student_id,cgpa,twelfth_percent,branch,internships,projects,backlogs,prep_hours,communication_score,hostel,placed,package_lpa
VS2821,7.41,78.5,IT,0.0,6,1,188.0,4.3,No,No,0.0
VS3068,7.52,70.0,CSE,2.0,3,0,167.0,9.8,Yes,Yes,10.06
VS2940,7.35,78.3,CSE,2.0,0,3,199.0,4.8,Yes,Yes,
VS3138,7.86,60.2,CSE,1.0,3,0,135.0,8.0,No,Yes,8.63
VS2670,5.63,88.3,CSE,2.0,2,0,132.0,6.3,No,Yes,5.22
VS2740,5.0,91.2,IT,0.0,1,0,87.0,7.7,Yes,No,0.0
VS2971,7.79,74.7,CSE,0.0,4,0,,7.3,Yes,No,0.0
VS2665,6.12,78.1,ECE,3.0,1,1,137.0,9.0,No,Yes,
VS2603,6.95,82.3,ECE,2.0,2,2,221.0,8.3,Yes,Yes,6.62
VS2827,6.48,68.0,ECE,2.0,0,1,56.0,6.6,Yes,No,0.0
VS3066,7.75,75.6,ECE,1.0,3,0,85.0,5.6,Yes,Yes,6.21
VS2770,7.2,62.4,CSE,2.0,0,0,55.0,4.8,Yes,Yes,6.08
VS2901,7.8,90.3,CSE,1.0,1,0,53.0,5.4,Yes,Yes,6.9
VS3080,7.78,76.5,IT,0.0,4,0,31.0,7.4,No,Yes,8.28
VS2701,9.01,64.8,ECE,1.0,0,1,,4.8,Yes,Yes,6.7
VS2927,7.74,80.6,ECE,0.0,6,0,68.0,7.9,No,Yes,7.09
VS3012,8.29,77.8,CSE,0.0,2,0,81.0,7.9,Yes,Yes,8.06
VS2892,8.84,86.3,Civil,1.0,2,0,132.0,3.4,No,Yes,5.77
VS2936,8.23,69.5,CSE,3.0,3,1,119.0,6.9,Yes,Yes,8.54
VS2754,6.88,78.9,CSE,1.0,1,1,85.0,5.2,Yes,No,0.0
VS2951,7.63,75.3,CSE,2.0,0,0,265.0,5.4,No,No,0.0
VS2930,8.07,83.1,Mech,1.0,2,0,120.0,9.5,Yes,Yes,5.38
VS2844,8.75,62.4,ECE,1.0,3,1,196.0,6.7,No,Yes,6.91
VS2893,6.24,82.0,CSE,1.0,1,0,113.0,3.7,No,Yes,3.77
VS2655,8.11,76.4,Mech,1.0,4,4,111.0,4.8,No,No,0.0
VS2718,5.67,68.7,IT,2.0,2,3,27.0,5.3,Yes,No,0.0
VS3017,7.74,81.2,Mech,1.0,2,1,16.0,5.4,No,No,0.0
VS3133,6.94,77.6,ECE,3.0,4,0,138.0,6.7,No,Yes,7.43
VS3146,7.63,89.3,IT,0.0,5,0,347.0,7.2,No,Yes,6.72
VS2697,6.99,70.4,CSE,4.0,1,0,58.0,7.8,Yes,Yes,8.31
VS2958,6.97,55.0,IT,1.0,4,0,93.0,7.6,No,Yes,6.42
